Source_File,Domain,Window,N_Subsets,N_Conj_raw_lt_0p05,N_Conj_q_window_lt_0p05,N_Opp_raw_lt_0p05,N_Opp_q_window_lt_0p05,N_Combined_q_lt_0p05
sf_B_Class_subset_scan_no_earth.csv,sf,1,127,2,0,21,0,0
sf_B_Class_subset_scan_no_earth.csv,sf,2,127,5,0,9,0,0
sf_B_Class_subset_scan_no_earth.csv,sf,3,127,8,0,7,0,0
sf_B_Class_subset_scan_no_earth.csv,sf,4,127,12,0,0,0,0
sf_B_Class_subset_scan_no_earth.csv,sf,5,127,15,0,0,0,0
sf_C_Class_SC21_subset_scan_no_earth.csv,sf,1,127,0,0,0,0,0
sf_C_Class_SC21_subset_scan_no_earth.csv,sf,2,127,0,0,0,0,0
sf_C_Class_SC21_subset_scan_no_earth.csv,sf,3,127,0,0,0,0,0
sf_C_Class_SC22_subset_scan_no_earth.csv,sf,1,127,2,0,6,0,0
sf_C_Class_SC22_subset_scan_no_earth.csv,sf,2,127,11,0,0,0,0
sf_C_Class_SC22_subset_scan_no_earth.csv,sf,3,127,4,0,0,0,0
sf_C_Class_SC23_subset_scan_no_earth.csv,sf,1,127,6,0,4,0,0
sf_C_Class_SC23_subset_scan_no_earth.csv,sf,2,127,8,0,4,0,0
sf_C_Class_SC23_subset_scan_no_earth.csv,sf,3,127,1,0,8,0,0
sf_C_Class_SC24_subset_scan_no_earth.csv,sf,1,127,60,20,6,0,0
sf_C_Class_SC24_subset_scan_no_earth.csv,sf,2,127,73,64,8,0,54
sf_C_Class_SC24_subset_scan_no_earth.csv,sf,3,127,64,64,8,0,65
sf_C_Class_subset_scan_no_earth.csv,sf,1,127,28,0,2,0,0
sf_C_Class_subset_scan_no_earth.csv,sf,2,127,71,64,0,0,42
sf_C_Class_subset_scan_no_earth.csv,sf,3,127,45,26,1,0,13
sf_C_Class_subset_scan_no_earth.csv,sf,4,127,37,17,0,0,8
sf_C_Class_subset_scan_no_earth.csv,sf,5,127,45,27,0,0,16
sf_M_Class_subset_scan_no_earth.csv,sf,1,127,0,0,50,0,0
sf_M_Class_subset_scan_no_earth.csv,sf,2,127,0,0,17,0,0
sf_M_Class_subset_scan_no_earth.csv,sf,3,127,3,0,10,0,0
sf_M_Class_subset_scan_no_earth.csv,sf,4,127,0,0,3,0,0
sf_M_Class_subset_scan_no_earth.csv,sf,5,127,0,0,0,0,0
sf_SC21_subset_scan_no_earth.csv,sf,1,127,0,0,0,0,0
sf_SC21_subset_scan_no_earth.csv,sf,2,127,0,0,1,0,0
sf_SC21_subset_scan_no_earth.csv,sf,3,127,0,0,0,0,0
sf_SC22_subset_scan_no_earth.csv,sf,1,127,0,0,9,0,0
sf_SC22_subset_scan_no_earth.csv,sf,2,127,1,0,0,0,0
sf_SC22_subset_scan_no_earth.csv,sf,3,127,8,0,0,0,0
sf_SC23_subset_scan_no_earth.csv,sf,1,127,8,0,4,0,0
sf_SC23_subset_scan_no_earth.csv,sf,2,127,13,0,5,0,0
sf_SC23_subset_scan_no_earth.csv,sf,3,127,14,0,12,0,0
sf_SC24_subset_scan_no_earth.csv,sf,1,127,37,0,3,0,0
sf_SC24_subset_scan_no_earth.csv,sf,2,127,60,0,5,0,0
sf_SC24_subset_scan_no_earth.csv,sf,3,127,64,61,14,0,0
sf_X_Class_subset_scan_no_earth.csv,sf,1,127,1,0,0,0,0
sf_X_Class_subset_scan_no_earth.csv,sf,2,127,0,0,0,0,0
sf_X_Class_subset_scan_no_earth.csv,sf,3,127,0,0,0,0,0
sf_X_Class_subset_scan_no_earth.csv,sf,4,127,0,0,0,0,0
sf_X_Class_subset_scan_no_earth.csv,sf,5,127,0,0,0,0,0
sf_subset_scan_no_earth.csv,sf,1,127,26,0,5,0,0
sf_subset_scan_no_earth.csv,sf,2,127,59,31,2,0,5
sf_subset_scan_no_earth.csv,sf,3,127,49,22,11,0,0
sf_subset_scan_no_earth.csv,sf,4,127,44,15,1,0,3
sf_subset_scan_no_earth.csv,sf,5,127,46,27,0,0,19
